Date & time of file creation	7/18/2019 17:09																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190718_PredatorExp_blankPost_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190718_PredatorExp_blankPost.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.6250	0.00	100.00	17.19	17.96																																							
Chamber 2	1	52.0787	29.0750	0.00	100.00	17.19	17.96																																							
Chamber 3	1	55.4062	28.5750	0.00	100.00	17.18	17.96																																							
Chamber 4	1	53.3363	29.2450	0.00	100.00	17.19	17.96																																							
																																														
Chamber 6	1	44.3075	28.6100	0.00	100.00	16.88	17.94																																							
Chamber 7	1	45.0000	28.5725	0.00	100.00	17.46	17.94																																							
Chamber 8	1	48.5650	28.6062	0.00	100.00	16.89	17.94																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
