Date & time of file creation	7/11/2019 14:59																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190711_PredatorExp_smr_Treat_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190711_PredatorExp_smr_Treat.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.4800	0.00	100.00	17.19	17.76																																							
Chamber 2	1	52.0787	29.1100	0.00	100.00	17.19	17.77																																							
Chamber 3	1	55.4062	28.5300	0.00	100.00	17.18	17.76																																							
Chamber 4	1	53.3363	29.2100	0.00	100.00	17.19	17.77																																							
																																														
Chamber 6	1	44.3075	28.6800	0.00	100.00	16.88	17.71																																							
Chamber 7	1	45.0000	28.4900	0.00	100.00	17.46	17.72																																							
Chamber 8	1	48.5650	28.5800	0.00	100.00	16.89	17.72																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.2707	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.289	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.354	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.3963	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.2909	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.3417	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.3897	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/11/2019/14:59:46	Flush	1014.7	0.0	28.5400	18.53	96.95	29.0800	18.53	98.07	28.5800	18.53	97.78	29.1500	18.53	98.49	NaN	18.26	NaN	28.6000	18.26	98.15	28.5600	18.26	96.78	28.6600	18.26	97.29	NaN	NaN	NaN	NaN	18.5300	18.53	OFF	18.2600	18.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
